,title,genre,imdb_score,meta_score,imdb_id,year
0,Spider-Man: Into the Spider-Verse,"['Animation', ' Action', ' Adventure']",8.5,87,tt4633694,2018
1,Aquaman,"['Action', ' Adventure', ' Fantasy']",7.2, ,tt1477834,2018
2,Avengers: Infinity War,"['Action', ' Adventure', ' Sci-Fi']",8.5,68,tt4154756,2018
3,Bumblebee,"['Action', ' Adventure', ' Sci-Fi']",7.0,66,tt4701182,2018
4,Dragged Across Concrete,"['Action', ' Crime', ' Drama']",7.4,63,tt6491178,2018
5,Deadpool 2,"['Action', ' Adventure', ' Comedy']",7.8,66,tt5463162,2018
6,Mortal Engines,"['Action', ' Adventure', ' Fantasy']",6.2, ,tt1571234,2018
7,Black Panther,"['Action', ' Adventure', ' Sci-Fi']",7.3,88,tt1825683,2018
8,Thor: Ragnarok,"['Action', ' Adventure', ' Comedy']",7.9,74,tt3501632,2017
9,Jurassic World: Fallen Kingdom,"['Action', ' Adventure', ' Sci-Fi']",6.2, ,tt4881806,2018
10,Guardians of the Galaxy,"['Action', ' Adventure', ' Comedy']",8.1,76,tt2015381,2014
11,Overlord,"['Action', ' Adventure', ' Horror']",6.7, ,tt4530422,2018
12,Mandy,"['Action', ' Fantasy', ' Horror']",6.6,81,tt6998518,2018
13,Ocean's Eight,"['Action', ' Comedy', ' Crime']",6.2,61,tt5164214,2018
14,Robin Hood,"['Action', ' Adventure', ' Thriller']",5.3, ,tt4532826,2018
15,Suicide Squad,"['Action', ' Adventure', ' Fantasy']",6.1, ,tt1386697,2016
16,Avengers Assemble,"['Action', ' Adventure', ' Sci-Fi']",8.1,69,tt0848228,2012
17,Ant-Man and the Wasp,"['Action', ' Adventure', ' Comedy']",7.1,70,tt5095030,2018
18,Guardians of the Galaxy: Vol. 2,"['Action', ' Adventure', ' Comedy']",7.7,67,tt3896198,2017
19,Venom,"['Action', ' Sci-Fi', ' Thriller']",6.8, ,tt1270797,2018
20,The First Purge,"['Action', ' Horror', ' Sci-Fi']",5.1, ,tt6133466,2018
21,Kursk,"['Action', ' Drama', ' History']",6.5, ,tt4951982,2018
22,Ye wen wai zhuan: Zhang tian zhi,"['Action', ' Crime']",6.6, ,tt7262882,2018
23,Captain America: The First Avenger,"['Action', ' Adventure', ' Sci-Fi']",6.9,66,tt0458339,2011
24,Solo: A Star Wars Story,"['Action', ' Adventure', ' Fantasy']",7.0,62,tt3778644,2018
25,Scott Pilgrim vs. the World,"['Action', ' Comedy', ' Fantasy']",7.5,69,tt0446029,2010
26,Spider-Man: Homecoming,"['Action', ' Adventure', ' Sci-Fi']",7.5,73,tt2250912,2017
27,Ready Player One,"['Action', ' Adventure', ' Sci-Fi']",7.5,64,tt1677720,2018
28,Destroyer,"['Action', ' Crime', ' Drama']",6.5,62,tt7137380,2018
29,Avengers: Age of Ultron,"['Action', ' Adventure', ' Sci-Fi']",7.4,66,tt2395427,2015
30,Incredibles 2,"['Animation', ' Action', ' Adventure']",7.7,80,tt3606756,2018
31,Skjelvet,"['Action', ' Drama', ' Thriller']",6.2,70,tt6523720,2018
32,The Dark Knight,"['Action', ' Crime', ' Drama']",9.0,84,tt0468569,2008
33,Justice League,"['Action', ' Adventure', ' Fantasy']",6.5, ,tt0974015,2017
34,Burn Out,"['Action', ' Thriller']",6.2, ,tt6340604,2017
35,Kong: Skull Island,"['Action', ' Adventure', ' Fantasy']",6.6,62,tt3731562,2017
36,Inception,"['Action', ' Adventure', ' Sci-Fi']",8.8,74,tt1375666,2010
37,Mission: Impossible - Fallout,"['Action', ' Adventure', ' Thriller']",7.8,86,tt4912910,2018
38,Thor,"['Action', ' Adventure', ' Fantasy']",7.0, ,tt0800369,2011
39,Iron Man,"['Action', ' Adventure', ' Sci-Fi']",7.9,79,tt0371746,2008
40,Wonder Woman,"['Action', ' Adventure', ' Fantasy']",7.5,76,tt0451279,2017
41,Assassination Nation,"['Action', ' Comedy', ' Crime']",5.9, ,tt6205872,2018
42,Captain America: Civil War,"['Action', ' Adventure', ' Sci-Fi']",7.8,75,tt3498820,2016
43,Mad Max: Fury Road,"['Action', ' Adventure', ' Sci-Fi']",8.1,90,tt1392190,2015
44,The Matrix,"['Action', ' Sci-Fi']",8.7,73,tt0133093,1999
45,Deadpool,"['Action', ' Adventure', ' Comedy']",8.0,65,tt1431045,2016
46,The Girl in the Spider's Web,"['Action', ' Crime', ' Drama']",6.1, ,tt5177088,2018
47,Avatar,"['Action', ' Adventure', ' Fantasy']",7.8,83,tt0499549,2009
48,Hunter Killer,"['Action', ' Thriller']",6.6, ,tt1846589,2018
49,Thor: The Dark World,"['Action', ' Adventure', ' Fantasy']",7.0, ,tt1981115,2013
50,John Wick,"['Action', ' Crime', ' Thriller']",7.3,68,tt2911666,2014
51,Jumanji: Welcome to the Jungle,"['Action', ' Adventure', ' Comedy']",7.0, ,tt2283362,2017
52,Iron Man Three,"['Action', ' Adventure', ' Sci-Fi']",7.2,62,tt1300854,2013
53,Star Wars: Episode VIII - The Last Jedi,"['Action', ' Adventure', ' Fantasy']",7.2,85,tt2527336,2017
54,Baywatch,"['Action', ' Comedy', ' Crime']",5.6, ,tt1469304,2017
55,Captain America: The Winter Soldier,"['Action', ' Adventure', ' Sci-Fi']",7.8,70,tt1843866,2014
56,The Evil Force,"['Action', ' Horror', ' Romance']",5.9, ,tt0052530,1959
57,Layer Cake,"['Action', ' Crime', ' Drama']",7.3,73,tt0375912,2004
58,X-Men: Apocalypse,"['Action', ' Adventure', ' Sci-Fi']",7.0, ,tt3385516,2016
59,Baby Driver,"['Action', ' Crime', ' Drama']",7.6,86,tt3890160,2017
60,Doctor Strange,"['Action', ' Adventure', ' Fantasy']",7.5,72,tt1211837,2016
61,The Dark Knight Rises,"['Action', ' Thriller']",8.4,78,tt1345836,2012
62,Dune,"['Action', ' Adventure', ' Sci-Fi']",6.6, ,tt0087182,1984
63,The Incredible Hulk,"['Action', ' Adventure', ' Sci-Fi']",6.8,61,tt0800080,2008
64,Den of Thieves,"['Action', ' Crime', ' Drama']",7.0, ,tt1259528,2018
65,King Arthur: Legend of the Sword,"['Action', ' Adventure', ' Drama']",6.8, ,tt1972591,2017
66,The Meg,"['Action', ' Horror', ' Sci-Fi']",5.7, ,tt4779682,2018
67,Gladiator,"['Action', ' Adventure', ' Drama']",8.5,67,tt0172495,2000
68,Watchmen,"['Action', ' Drama', ' Mystery']",7.6, ,tt0409459,2009
69,John Wick: Chapter 2,"['Action', ' Crime', ' Thriller']",7.5,75,tt4425200,2017
70,The Predator,"['Action', ' Adventure', ' Sci-Fi']",5.4, ,tt3829266,2018
71,Red Sparrow,"['Action', ' Drama', ' Thriller']",6.6, ,tt2873282,2018
72,Leon,"['Action', ' Crime', ' Drama']",8.6,64,tt0110413,1994
73,Iron Man 2,"['Action', ' Adventure', ' Sci-Fi']",7.0, ,tt1228705,2010
74,Game Night,"['Action', ' Comedy', ' Crime']",7.0,66,tt2704998,2018
75,Skyscraper,"['Action', ' Adventure', ' Thriller']",5.8, ,tt5758778,2018
76,Dunkirk,"['Action', ' Drama', ' History']",7.9,94,tt5013056,2017
77,Sicario: Day of the Soldado,"['Action', ' Crime', ' Drama']",7.1,61,tt5052474,2018
78,Power Rangers,"['Action', ' Adventure', ' Sci-Fi']",6.0, ,tt3717490,2017
79,Hellboy,"['Action', ' Fantasy', ' Horror']",6.9,72,tt0167190,2004
80,Transformers: The Last Knight,"['Action', ' Adventure', ' Sci-Fi']",5.2, ,tt3371366,2017
81,Ant-Man,"['Action', ' Adventure', ' Comedy']",7.3,64,tt0478970,2015
82,Sicario,"['Action', ' Crime', ' Drama']",7.6,82,tt3397884,2015
83,Logan,"['Action', ' Drama', ' Sci-Fi']",8.1,77,tt3315342,2017
84,Edge of Tomorrow,"['Action', ' Sci-Fi']",7.9,71,tt1631867,2014
85,Upgrade,"['Action', ' Sci-Fi', ' Thriller']",7.6,67,tt6499752,2018
86,The Revenant,"['Action', ' Adventure', ' Biography']",8.0,76,tt1663202,2015
87,Casino Royale,"['Action', ' Adventure', ' Thriller']",8.0,80,tt0381061,2006
88,Star Wars: Episode IV - A New Hope,"['Action', ' Adventure', ' Fantasy']",8.6,90,tt0076759,1977
89,Star Wars: Episode VII - The Force Awakens,"['Action', ' Adventure', ' Fantasy']",8.0,81,tt2488496,2015
90,Ghost in the Shell,"['Action', ' Drama', ' Sci-Fi']",6.4, ,tt1219827,2017
91,21 Jump Street,"['Action', ' Comedy', ' Crime']",7.2,69,tt1232829,2012
92,Star Wars: Episode I - The Phantom Menace,"['Action', ' Adventure', ' Fantasy']",6.5, ,tt0120915,1999
93,The Mummy,"['Action', ' Adventure', ' Fantasy']",5.5, ,tt2345759,2017
94,The Equalizer,"['Action', ' Crime', ' Thriller']",7.2, ,tt0455944,2014
95,Rogue One,"['Action', ' Adventure', ' Sci-Fi']",7.8,65,tt3748528,2016
96,The Incredibles,"['Animation', ' Action', ' Adventure']",8.0,90,tt0317705,2004
97,Death Wish,"['Action', ' Crime', ' Drama']",6.4, ,tt1137450,2018
98,GoldenEye,"['Action', ' Adventure', ' Thriller']",7.2,65,tt0113189,1995
99,Spider-Man,"['Action', ' Adventure', ' Sci-Fi']",7.3,73,tt0145487,2002
100,Rampage,"['Action', ' Adventure', ' Sci-Fi']",6.1, ,tt2231461,2018
101,Kill Bill: Vol. 1,"['Action', ' Crime', ' Thriller']",8.1,69,tt0266697,2003
102,Lucy,"['Action', ' Sci-Fi', ' Thriller']",6.4,61,tt2872732,2014
103,Top Gun,"['Action', ' Drama']",6.9, ,tt0092099,1986
104,Spectre,"['Action', ' Adventure', ' Thriller']",6.8, ,tt2379713,2015
105,Tomb Raider,"['Action', ' Adventure', ' Fantasy']",6.3, ,tt1365519,2018
106,The Mummy,"['Action', ' Adventure', ' Fantasy']",7.0, ,tt0120616,1999
107,Slaughterhouse Rulez,"['Action', ' Comedy', ' Fantasy']",5.3, ,tt6905696,2018
108,The Fifth Element,"['Action', ' Adventure', ' Sci-Fi']",7.7, ,tt0119116,1997
109,Batman v Superman: Dawn of Justice,"['Action', ' Adventure', ' Fantasy']",6.5, ,tt2975590,2016
110,Pirates of the Caribbean: Salazar's Revenge,"['Action', ' Adventure', ' Fantasy']",6.6, ,tt1790809,2017
111,The Equalizer 2,"['Action', ' Crime', ' Thriller']",6.7, ,tt3766354,2018
112,The Hunger Games,"['Action', ' Adventure', ' Sci-Fi']",7.2,68,tt1392170,2012
113,Ghostbusters,"['Action', ' Comedy', ' Fantasy']",5.2, ,tt1289401,2016
114,Peppermint,"['Action', ' Crime', ' Drama']",6.5, ,tt6850820,2018
115,Outlaw King,"['Action', ' Biography', ' Drama']",7.0, ,tt6679794,2018
116,Jurassic World,"['Action', ' Adventure', ' Sci-Fi']",7.0, ,tt0369610,2015
117,Sucker Punch,"['Action', ' Fantasy']",6.1, ,tt0978764,2011
118,Die Hard,"['Action', ' Thriller']",8.2,72,tt0095016,1988
119,Mile 22,"['Action', ' Adventure', ' Thriller']",6.1, ,tt4560436,2018
120,X-Men: Days of Future Past,"['Action', ' Adventure', ' Sci-Fi']",8.0,75,tt1877832,2014
121,Aliens,"['Action', ' Adventure', ' Sci-Fi']",8.4,84,tt0090605,1986
122,Death Proof,"['Action', ' Thriller']",7.0, ,tt1028528,2007
123,X: First Class,"['Action', ' Adventure', ' Sci-Fi']",7.7,65,tt1270798,2011
124,How to Train Your Dragon,"['Animation', ' Action', ' Adventure']",8.1,74,tt0892769,2010
125,From Dusk Till Dawn,"['Action', ' Crime', ' Horror']",7.2, ,tt0116367,1996
126,Valerian and the City of a Thousand Planets,"['Action', ' Adventure', ' Fantasy']",6.5, ,tt2239822,2017
127,The Karate Kid,"['Action', ' Drama', ' Family']",7.2, ,tt0087538,1984
128,Ghostbusters,"['Action', ' Comedy', ' Fantasy']",7.8,71,tt0087332,1984
129,The Boondock Saints,"['Action', ' Crime', ' Thriller']",7.8, ,tt0144117,1999
130,Batman Begins,"['Action', ' Adventure']",8.2,70,tt0372784,2005
131,Terminator Genisys,"['Action', ' Adventure', ' Sci-Fi']",6.4, ,tt1340138,2015
132,Predator,"['Action', ' Adventure', ' Sci-Fi']",7.8, ,tt0093773,1987
133,300,"['Action', ' Fantasy']",7.7, ,tt0416449,2006
134,The Legend of Tarzan,"['Action', ' Adventure', ' Drama']",6.3, ,tt0918940,2016
135,Tombstone,"['Action', ' Biography', ' Drama']",7.8, ,tt0108358,1993
136,Snow White and the Huntsman,"['Action', ' Adventure', ' Drama']",6.1, ,tt1735898,2012
137,Gangster Squad,"['Action', ' Crime', ' Drama']",6.7, ,tt1321870,2013
138,X-Men,"['Action', ' Adventure', ' Sci-Fi']",7.4,64,tt0120903,2000
139,Maze Runner: The Death Cure,"['Action', ' Sci-Fi', ' Thriller']",6.2, ,tt4500922,2018
140,Star Wars: Episode VI - Return of the Jedi,"['Action', ' Adventure', ' Fantasy']",8.3, ,tt0086190,1983
141,Kingsman: The Secret Service,"['Action', ' Adventure', ' Comedy']",7.7, ,tt2802144,2014
142,Kingsman: The Golden Circle,"['Action', ' Adventure', ' Comedy']",6.8, ,tt4649466,2017
143,The Towering Inferno,"['Action', ' Drama', ' Thriller']",6.9,69,tt0072308,1974
144,How to Train Your Dragon 2,"['Animation', ' Action', ' Adventure']",7.8,76,tt1646971,2014
145,Doragon bôru chô: Burorî,"['Animation', ' Action', ' Adventure']",8.1, ,tt7961060,2018
146,The Running Man,"['Action', ' Sci-Fi', ' Thriller']",6.7, ,tt0093894,1987
147,Terminator 2: Judgment Day,"['Action', ' Sci-Fi']",8.5,75,tt0103064,1991
148,The Terminator,"['Action', ' Sci-Fi']",8.0,84,tt0088247,1984
149,Raiders of the Lost Ark,"['Action', ' Adventure']",8.5,85,tt0082971,1981
150,A Knight's Tale,"['Action', ' Adventure', ' Romance']",6.9, ,tt0183790,2001
151,13 Hours,"['Action', ' Drama', ' History']",7.3, ,tt4172430,2016
152,The Spiderwick Chronicles,"['Action', ' Adventure', ' Drama']",6.6,62,tt0416236,2008
