,id,title,belongs_to_collection,budget,genres,imdb_id,overview,release_date,revenue,tagline,vote_average,vote_count,runtime,popularity,production_companies
0,324857,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse Collection,90000000.0,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']",tt4633694,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",2018-12-07,362823577.0,More Than One Wears the Mask,8.5,2899.0,117.0,115.129,Columbia Pictures
1,297802,Aquaman,Aquaman Collection,160000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",tt1477834,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",2018-12-07,1143689193.0,Home Is Calling,6.8,4885.0,144.0,129.402,DC Comics
2,299536,Avengers: Infinity War,The Avengers Collection,300000000.0,"['Adventure', 'Action', 'Fantasy']",tt4154756,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25,2046239637.0,An entire universe. Once and for all.,8.3,12297.0,149.0,129.988,Marvel Studios
3,424783,Bumblebee,Transformers Collection,135000000.0,"['Action', 'Adventure', 'Science Fiction']",tt4701182,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",2018-12-15,420361283.0,Every Hero Has a Beginning,6.5,1586.0,114.0,226.241,Hasbro
4,438674,Dragged Across Concrete,,15000000.0,"['Drama', 'Crime', 'Action', 'Thriller']",tt6491178,"Two policemen, one an old-timer, the other his volatile younger partner, find themselves suspended when a video of their strong-arm tactics becomes the media's cause du jour. Low on cash and with no other options, these two embittered soldiers descend into the criminal underworld to gain their just due, but instead find far more than they wanted awaiting them in the shadows.",2019-02-21,,Those who can't earn a living must find another way to provide,6.9,23.0,159.0,34.986,Cinestate
5,383498,Deadpool 2,Deadpool Collection,110000000.0,"['Action', 'Comedy', 'Adventure']",tt5463162,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,2018-05-15,741547413.0,Prepare for the Second Coming.,7.5,7993.0,121.0,42.911,Marvel Entertainment
6,428078,Mortal Engines,,100000000.0,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Thriller']",tt1571234,"Many thousands of years in the future, Earth’s cities roam the globe on huge wheels, devouring each other in a struggle for ever diminishing resources. On one of these massive traction cities, the old London, Tom Natsworthy has an unexpected encounter with a mysterious young woman from the wastelands who will change the course of his life forever.",2018-11-27,104236467.0,Some Scars Never Heal,5.9,1261.0,129.0,70.197,Scholastic Productions
7,284054,Black Panther,Black Panther Collection,200000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",tt1825683,"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",2018-02-13,1346739107.0,Long live the king.,7.4,11333.0,134.0,60.071,Marvel Studios
8,284053,Thor: Ragnarok,Thor Collection,180000000.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",tt3501632,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",2017-10-25,853977126.0,No Hammer. No Problem.,7.5,10535.0,131.0,54.183,Marvel Studios
9,351286,Jurassic World: Fallen Kingdom,Jurassic Park Collection,170000000.0,"['Action', 'Adventure', 'Science Fiction']",tt4881806,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isla Nublar, so Claire Dearing, the former park manager, recruits Owen Grady to help prevent the extinction of the dinosaurs once again.",2018-06-06,1303459585.0,The park is gone,6.5,5545.0,129.0,37.211,Amblin Entertainment
